msa,population
"Waco, TX",268361
"Walla Walla, WA",60365
"Warner Robins, GA",180652
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6196585
"Waterloo-Cedar Falls, IA",169556
"Watertown-Fort Drum, NY",112842
"Wausau-Weston, WI",163140
"Weirton-Steubenville, WV-OH",118213
"Wenatchee, WA",118252
"Wheeling, WV-OH",141475
"Wichita, KS",637690
"Wichita Falls, TX",150715
"Williamsport, PA",114330
"Wilmington, NC",288337
"Winchester, VA-WV",137621
"Winston-Salem, NC",666216
"Worcester, MA-CT",941338
"Yakima, WA",249697
"Yauco, PR",90618
"York-Hanover, PA",445565
"Youngstown-Warren-Boardman, OH-PA",541846
"Yuba City, CA",172469
"Yuma, AZ",209468
