Geographic Area Name,Year,Auto,Annual Excess Fuel Consumed,Annual Hours of Delay,Travel Time Index,Freeway,Truck-based Statistics,Arterial Street,msa
"Hagerstown, MD-WV-PA",2014.0,108,1264,2589,1.04,,267,,
"Hammond, LA",2014.0,40,692,1502,1.05,,163,,
"Hanford, CA",2014.0,51,307,920,1.08,,55,,
"Harlingen, TX",2014.0,77,749,1676,1.05,,68,,
"Harrisburg, PA",2014.0,254,4443,10487,1.1,,611,,
"Harrisonburg, VA",2014.0,40,718,1623,1.08,,45,,
"Hattiesburg, MS",2014.0,46,1034,2364,1.1,,92,,
"Hazleton, PA",2014.0,31,468,1054,1.05,,54,,
"Hemet, CA",2014.0,95,862,1489,1.13,,62,,
"Hickory, NC",2014.0,124,1721,4070,1.05,,179,,
"High, Point",2014.0,95,1130,2593,1.05,,101,,
"Hinesville, GA",2014.0,28,253,616,1.08,,20,,
"Holland, MI",2014.0,57,485,1166,1.06,,51,,
"Hot, Springs",2014.0,32,523,1297,1.06,,32,,
"Houma, LA",2014.0,80,1377,2779,1.09,,206,,
"Huntington, WV-KY-OH",2014.0,113,1700,4044,1.06,,219,,
"Huntsville, AL",2014.0,168,2702,7199,1.11,,220,,
"Idaho, Falls",2014.0,52,380,878,1.05,,31,,
"Iowa, City",2014.0,65,848,1913,1.07,,104,,
"Ithaca, NY",2014.0,30,588,1487,1.17,,59,,
"Jackson, MI",2014.0,50,613,1451,1.06,,88,,
"Jackson, TN",2014.0,41,921,1703,1.08,,185,,
"Jacksonville, NC",2014.0,59,890,2087,1.1,,65,,
"Janesville, WI",2014.0,40,561,1310,1.07,,85,,
"Jefferson, City",2014.0,32,588,1665,1.1,,73,,
"Johnson, City",2014.0,68,947,2177,1.06,,0,,
"Johnstown, PA",2014.0,38,377,842,1.06,,37,,
"Jonesboro, AR",2014.0,39,717,1711,1.09,,58,,
"Joplin, MO",2014.0,47,815,1796,1.08,,90,,
"Juana, Diaz",2014.0,46,148,394,1.21,,39,,
"Kailua, (Honolulu",2014.0,63,1390,3067,1.21,,158,,
"Kalamazoo, MI",2014.0,119,1667,3679,1.06,,125,,
"Kankakee, IL",2014.0,45,529,1140,1.06,,56,,
"Kennewick-Pasco, WA",2014.0,128,1320,3119,1.07,,199,,
"Kenosha, WI-IL",2014.0,69,1539,3168,1.12,,264,,
"Killeen, TX",2014.0,128,1363,3262,1.09,,131,,
"Kingsport, TN-VA",2014.0,58,763,1947,1.05,,102,,
"Kingston, NY",2014.0,60,913,2314,1.04,,108,,
"Kissimmee, FL",2014.0,194,5767,12161,1.19,,631,,
"Kokomo, IN",2014.0,34,313,718,1.05,,37,,
"La, Crosse",2014.0,56,817,1736,1.07,,92,,
"Lady, Lake-The",2014.0,67,741,1608,1.09,,81,,
"Lafayette, IN",2014.0,87,1330,2729,1.1,,174,,
"Lafayette, LA",2014.0,146,4266,8126,1.12,,791,,
"Lafayette-Louisville-Erie, CO",2014.0,47,505,1402,1.12,,36,,
"Lake, Charles",2014.0,83,2609,4836,1.14,,590,,
"Lake, Havasu",2014.0,30,200,498,1.07,,24,,
"Lake, Jackson-Angleton",2014.0,42,638,1474,1.07,,84,,
"Lakeland, FL",2014.0,152,2205,4631,1.09,,294,,
"Lancaster, PA",2014.0,229,4027,8780,1.09,,468,,
"Lansing, MI",2014.0,175,2051,4877,1.05,,185,,
"Las, Cruces",2014.0,75,1244,2636,1.07,,110,,
"Lawrence, KS",2014.0,51,694,1464,1.08,,64,,
"Lawton, OK",2014.0,53,301,730,1.04,,32,,
"Lebanon, PA",2014.0,45,305,665,1.08,,33,,
"Leesburg-Eustis-Tavares, FL",2014.0,79,1180,2664,1.1,,139,,
"Leominster-Fitchburg, MA",2014.0,64,1038,2556,1.07,,93,,
"Lewiston, ID-WA",2014.0,30,327,678,1.07,,31,,
"Lewiston, ME",2014.0,33,648,1478,1.08,,86,,
"Lexington, Park-Cal-Ches",2014.0,32,537,1307,1.19,,46,,
"Lexington-Fayette, KY",2014.0,176,5218,10942,1.18,,663,,
"Lima, OH",2014.0,41,461,958,1.06,,61,,
"Lincoln, NE",2014.0,149,2099,4553,1.09,,158,,
"Livermore, CA",2014.0,48,1505,3831,1.19,,194,,
"Lodi, CA",2014.0,41,1148,2693,1.17,,249,,
"Logan, UT",2014.0,56,434,741,1.07,,103,,
"Lompoc, CA",2014.0,31,242,529,1.1,,16,,
"Longmont, CO",2014.0,53,871,2419,1.16,,77,,
"Longview, TX",2014.0,57,1200,2899,1.13,,136,,
"Longview, WA-OR",2014.0,37,654,1491,1.08,,95,,
"Lorain-Elyria, OH",2014.0,100,1424,3142,1.05,,222,,
"Lubbock, TX",2014.0,139,2056,4620,1.09,,235,,
"Lynchburg, VA",2014.0,67,1557,3599,1.11,,91,,
"Macon, GA",2014.0,77,1593,3676,1.06,,175,,
"Madera, CA",2014.0,48,563,1285,1.1,,63,,
"Manchester, NH",2014.0,91,1512,3749,1.07,,180,,
"Mandeville-Covington, LA",2014.0,55,1535,3440,1.14,,228,,
"Manhattan, KS",2014.0,33,338,766,1.08,,30,,
"Mankato, MN",2014.0,33,267,694,1.06,,28,,
"Mansfield, OH",2014.0,43,469,1075,1.04,,49,,
"Manteca, CA",2014.0,49,1229,3148,1.17,,202,,
"Marysville, WA",2014.0,88,1318,3560,1.14,,178,,
"Mauldin-Simpsonville, SC",2014.0,72,1575,3334,1.18,,288,,
"Mayaguez, PR",2014.0,59,1639,4719,1.21,,417,,
"McKinney, TX",2014.0,111,1274,2977,1.09,,158,,
"Medford, OR",2014.0,92,1110,2387,1.07,,166,,
"Merced, CA",2014.0,83,960,2139,1.09,,134,,
"Michigan, City-La",2014.0,38,356,711,1.04,,63,,
"Middletown, OH",2014.0,57,475,1077,1.06,,60,,
"Midland, MI",2014.0,33,287,740,1.04,,24,,
"Midland, TX",2014.0,73,1299,2779,1.08,,333,,
