Geographic Area Name,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh
"Bowling Green, KY",0.8205685315951475,0.10821877742029833,0.003119820610314907,0.011629688435772086,0.0015459825345756906,0.02876084625134055,0.02615635315255087
"Bremerton-Silverdale, WA",0.6896723493794821,0.09111521449735904,0.08619401382745738,0.014694894146948941,0.005393567226349465,0.046111564392150126,0.06681839653025293
"Bridgeport-Stamford-Norwalk, CT",0.7283094415678564,0.08442131203835251,0.09381642056689357,0.00893275966163245,0.002870602916388921,0.02710351901353605,0.05454594423534006
"Brownsville-Harlingen, TX",0.8140748513466247,0.11499825113676111,0.006855543896467297,0.01869884575026233,0.0016928996152500875,0.01857992305001749,0.025099685204617
"Brunswick, GA",0.8192983218850535,0.09899139205286497,0.0055212590209546995,0.0170854708286236,0.002238935744717851,0.01402051995478654,0.04284410051299887
"Buffalo-Cheektowaga-Niagara Falls, NY",0.8224131137805475,0.0777926455780772,0.032489421761003175,0.009604641291582519,0.004077118836022544,0.02912798765063165,0.024495071102135443
"Burlington, NC",0.8223247933160002,0.11245654523677369,0.002775262189243668,0.012503286494697789,0.00010224650170897724,0.012006660629254184,0.03783120563232158
"Burlington-South Burlington, VT",0.7349946856635893,0.09818785520409687,0.020405295011550997,0.00621909120455364,0.015635568282634855,0.06397406955192678,0.060583435081647534
"California-Lexington Park, MD",0.8402794374482949,0.080338266384778,0.022832980972515855,0.005846125563011307,0.002647302141740969,0.02204246713852376,0.026013420351135214
"Canton-Massillon, OH",0.8541153958887518,0.08371262187467164,0.010015429623771575,0.005546922094225781,0.0012664458221113698,0.01599371754386935,0.029349467152598428
"Cape Coral-Fort Myers, FL",0.7829574116021656,0.10819798544508169,0.01137805838032355,0.022960945909039795,0.009169116583931755,0.009145019037062028,0.05619146304239562
"Cape Girardeau, MO-IL",0.8298542461722378,0.10789001793185894,0.00468987079865741,0.013356935951078211,0.0025978205894523886,0.02308152098947078,0.01852958756724447
"Carbondale-Marion, IL",0.8097639025842341,0.09038307689445385,0.006958268991050997,0.007721073880444287,0.006325699082773633,0.0490613778861002,0.029786600680942903
"Carson City, NV",0.8202703896792436,0.1140319872757798,0.0013696209242732172,0.0061412034991605545,0.014491473005213395,0.024962445877882832,0.018732879738446586
"Casper, WY",0.8194323524290441,0.11452451431556429,0.00674112584264073,0.006392875799109475,0.007164000895500112,0.01706425213303152,0.02868087858510982
"Cedar Rapids, IA",0.8238250029822259,0.089384766789932,0.008342777048789217,0.00998300131217941,0.0037874269354646307,0.02523708696170822,0.039439937969700585
