msa,municipality
"Norwich-New London, CT","['New London County, CT']"
"Ocala, FL","['Marion County, FL']"
"Ocean City, NJ","['Cape May County, NJ']"
"Odessa, TX","['Ector County, TX']"
"Ogden-Clearfield, UT","['Box Elder County, UT', 'Davis County, UT', 'Morgan County, UT', 'Weber County, UT']"
"Oklahoma City, OK","['Canadian County, OK', 'Cleveland County, OK', 'Grady County, OK', 'Lincoln County, OK', 'Logan County, OK', 'McClain County, OK', 'Oklahoma County, OK']"
"Olympia-Lacey-Tumwater, WA","['Thurston County, WA']"
"Omaha-Council Bluffs, NE-IA","['Harrison County, IA', 'Mills County, IA', 'Pottawattamie County, IA', 'Cass County, NE', 'Douglas County, NE', 'Sarpy County, NE', 'Saunders County, NE', 'Washington County, NE']"
"Orlando-Kissimmee-Sanford, FL","['Lake County, FL', 'Orange County, FL', 'Osceola County, FL', 'Seminole County, FL']"
"Oshkosh-Neenah, WI","['Winnebago County, WI']"
"Owensboro, KY","['Daviess County, KY', 'Hancock County, KY', 'McLean County, KY']"
"Oxnard-Thousand Oaks-Ventura, CA","['Ventura County, CA']"
"Palm Bay-Melbourne-Titusville, FL","['Brevard County, FL']"
"Panama City, FL","['Bay County, FL']"
"Parkersburg-Vienna, WV","['Wirt County, WV', 'Wood County, WV']"
"Pensacola-Ferry Pass-Brent, FL","['Escambia County, FL', 'Santa Rosa County, FL']"
"Peoria, IL","['Fulton County, IL', 'Marshall County, IL', 'Peoria County, IL', 'Stark County, IL', 'Tazewell County, IL', 'Woodford County, IL']"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","['New Castle County, DE', 'Cecil County, MD', 'Burlington County, NJ', 'Camden County, NJ', 'Gloucester County, NJ', 'Salem County, NJ', 'Bucks County, PA', 'Chester County, PA', 'Delaware County, PA', 'Montgomery County, PA', 'Philadelphia County, PA']"
"Phoenix-Mesa-Chandler, AZ","['Maricopa County, AZ', 'Pinal County, AZ']"
"Pine Bluff, AR","['Cleveland County, AR', 'Jefferson County, AR', 'Lincoln County, AR']"
"Pittsburgh, PA","['Allegheny County, PA', 'Armstrong County, PA', 'Beaver County, PA', 'Butler County, PA', 'Fayette County, PA', 'Washington County, PA', 'Westmoreland County, PA']"
"Pittsfield, MA","['Berkshire County, MA']"
"Pocatello, ID","['Bannock County, ID', 'Power County, ID']"
"Portland-South Portland, ME","['Cumberland County, ME', 'Sagadahoc County, ME', 'York County, ME']"
"Portland-Vancouver-Hillsboro, OR-WA","['Clackamas County, OR', 'Columbia County, OR', 'Multnomah County, OR', 'Washington County, OR', 'Yamhill County, OR', 'Clark County, WA', 'Skamania County, WA']"
"Port St. Lucie, FL","['Martin County, FL', 'St. Lucie County, FL']"
"Poughkeepsie-Newburgh-Middletown, NY","['Dutchess County, NY', 'Orange County, NY']"
"Prescott Valley-Prescott, AZ","['Yavapai County, AZ']"
"Providence-Warwick, RI-MA","['Bristol County, MA', 'Bristol County, RI', 'Kent County, RI', 'Newport County, RI', 'Providence County, RI', 'Washington County, RI']"
"Provo-Orem, UT","['Juab County, UT', 'Utah County, UT']"
"Pueblo, CO","['Pueblo County, CO']"
"Punta Gorda, FL","['Charlotte County, FL']"
"Racine, WI","['Racine County, WI']"
"Raleigh-Cary, NC","['Franklin County, NC', 'Johnston County, NC', 'Wake County, NC']"
"Rapid City, SD","['Meade County, SD', 'Pennington County, SD']"
"Reading, PA","['Berks County, PA']"
"Redding, CA","['Shasta County, CA']"
