msa osm,msa (old),auto_commuters,annual_excess_fuel_consumed_commuters,ahd,tti
"Medford, OR","Medford, OR",92,1110,2387,1.07
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",572,12215,25891,1.18
"Merced, CA","Merced, CA",83,960,2139,1.09
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami, FL",2724,105174,260112,1.3
"Michigan City-La Porte, IN","Michigan, City-La",38,356,711,1.04
"Midland, MI","Midland, MI",33,287,740,1.04
"Midland, TX","Midland, TX",73,1299,2779,1.08
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St., Paul",1383,32794,96726,1.26
"Missoula, MT","Missoula, MT",47,928,2126,1.13
"Mobile, AL","Mobile, AL",190,4410,9782,1.1
"Modesto, CA","Modesto, CA",205,4498,11093,1.21
"Monroe, LA","Monroe, LA",66,1013,2257,1.09
"Monroe, MI","Monroe, MI",33,336,785,1.04
"Montgomery, AL","Montgomery, AL",157,3009,6752,1.08
"Morgantown, WV","Morgantown, WV",42,416,813,1.04
"Morristown, TN","Morristown, TN",33,502,1141,1.08
"Mount Vernon-Anacortes, WA","Mount, Vernon",34,605,1438,1.09
"Muncie, IN","Muncie, IN",50,495,1093,1.06
"Muskegon, MI","Muskegon, MI",86,776,1866,1.05
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle, Beach-Socastee",136,3398,7547,1.12
"Napa, CA","Napa, CA",48,1742,4274,1.21
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson, TN",616,20706,48192,1.22
"New Haven-Milford, CT","New, Haven",265,6137,14460,1.16
"New York-Newark-Jersey City, NY-NJ-PA","New, York-Newark",5176,317483,759632,1.34
"North Port-Sarasota-Bradenton, FL","North, Port-Port",101,1368,2871,1.07
"Norwich-New London, CT","Norwich-New, London",120,1611,4018,1.06
"Ocala, FL","Ocala, FL",95,1774,3819,1.09
"Odessa, TX","Odessa, TX",77,1677,3580,1.09
"Ogden-Clearfield, UT","Ogden-Layton, UT",322,3924,7808,1.08
"Oklahoma City, OK","Oklahoma, City",550,15974,39188,1.18
"Olympia-Lacey-Tumwater, WA","Olympia-Lacey, WA",101,2073,5274,1.12
"Omaha-Council Bluffs, NE-IA","Omaha, NE-IA",396,7906,17079,1.16
"Orlando-Kissimmee-Sanford, FL","Orlando, FL",797,22914,57037,1.23
"Oshkosh-Neenah, WI","Oshkosh, WI",43,454,977,1.05
"Owensboro, KY","Owensboro, KY",42,609,1218,1.04
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard, CA",185,2399,6461,1.16
"Palm Bay-Melbourne-Titusville, FL","Palm, Bay-Melbourne",260,5198,10287,1.09
"Panama City, FL","Panama, City",84,2141,4506,1.15
"Parkersburg-Vienna, WV","Parkersburg, WV-OH",37,300,640,1.04
"Pensacola-Ferry Pass-Brent, FL","Pensacola, FL-AL",182,3525,8579,1.17
"Peoria, IL","Peoria, IL",151,1457,3602,1.06
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia, PA-NJ-DE-MD",2305,67530,159347,1.24
"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa, AZ",1998,65942,152812,1.27
"Pine Bluff, AR","Pine, Bluff",30,359,826,1.05
"Pittsburgh, PA","Pittsburgh, PA",854,18772,41995,1.19
"Pittsfield, MA","Pittsfield, MA",31,495,1158,1.08
"Pocatello, ID","Pocatello, ID",39,449,965,1.06
"Port St. Lucie, FL","Port, St.",224,4190,8464,1.09
"Portland-South Portland, ME","Portland, ME",121,2416,5755,1.11
"Portland-Vancouver-Hillsboro, OR-WA","Portland, OR-WA",850,33501,69134,1.35
"Poughkeepsie-Newburgh-Middletown, NY","Poughkeepsie-Newburgh, NY-NJ",205,3568,7833,1.11
"Prescott Valley-Prescott, AZ","Prescott, Valley-Prescott",49,809,1871,1.09
"Providence-Warwick, RI-MA","Providence, RI-MA",605,15100,34961,1.17
"Provo-Orem, UT","Provo-Orem, UT",253,4741,7652,1.12
"Pueblo, CO","Pueblo, CO",80,1073,2996,1.1
"Racine, WI","Racine, WI",76,1443,2911,1.12
"Raleigh-Cary, NC","Raleigh, NC",487,8684,24789,1.17
"Rapid City, SD","Rapid, City",49,817,1881,1.06
"Reading, PA","Reading, PA",152,2501,5478,1.08
"Redding, CA","Redding, CA",67,1327,3068,1.09
"Reno, NV","Reno, NV-CA",231,4311,10557,1.13
"Richmond, VA","Richmond, VA",503,8497,22416,1.13
"Riverside-San Bernardino-Ontario, CA","Riverside-San, Bernardino",1081,32004,100804,1.33
"Roanoke, VA","Roanoke, VA",118,2474,5622,1.1
"Rochester, MN","Rochester, MN",62,853,2228,1.1
"Rochester, NY","Rochester, NY",356,6637,14629,1.16
"Rockford, IL","Rockford, IL",167,2690,5722,1.08
"Rocky Mount, NC","Rocky, Mount",37,523,1209,1.05
"Rome, GA","Rome, GA",34,1099,2653,1.11
"Sacramento-Roseville-Folsom, CA","Sacramento, CA",897,22724,66743,1.26
"Saginaw, MI","Saginaw, MI",72,1024,2267,1.06
"Salem, OR","Salem, OR",125,2960,6159,1.16
"Salinas, CA","Salinas, CA",105,2207,5325,1.15
"Salisbury, MD-DE","Salisbury, MD-DE",56,832,1951,1.09
"Salt Lake City, UT","Salt, Lake",530,14407,26886,1.18
"San Angelo, TX","San, Angelo",54,1129,2349,1.1
