msa,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm
"Crestview-Fort Walton Beach-Destin, FL",20707,50597,4.886946443,12353179.2,244.1484514,2.616699667,15504,6559571.917,27109,241.9702651,1.084494731,0.014460142,3.445773508,2.579961968,2055.645802,1091.553539,29.79200736,6009.390911
"Cumberland, MD-WV",7332,17325,4.725859247,5427516.959,313.2765922,2.488543372,5076,2831839.418,9094,311.3964612,1.123012799,0.005828018,3.743197109,2.591444153,2770.903681,1445.73556,3.173996495,1958.753383
"Dallas-Fort Worth-Arlington, TX",306229,762195,4.977941345,141165592,185.2092864,2.837203531,251068,80187102.4,434864,184.3958166,1.069254378,0.004353085,13.13155662,10.7661706,6053.391302,3438.542645,703.9591168,23320.08374
"Dalton, GA",6715,16341,4.867014147,5499575.242,336.5507155,2.493075205,4726,2809868.783,8341,336.8743296,1.101292601,0.005634816,4.064756073,2.860765033,3329.029317,1700.883276,13.68425376,1652.005651
"Danville, IL",6307,17356,5.503726019,6849589.432,394.652537,2.809735215,5005,3478837.51,8773,396.5390984,1.040297797,0.00467343,2.703933971,2.145741165,2936.552648,1491.445524,0.796811791,2332.527372
"Daphne-Fairhope-Foley, AL",17941,43038,4.797725879,11113367.95,258.2222212,2.551028371,12959,5858519.173,23067,253.9783749,1.077962486,0.016083583,3.418299773,2.469079023,2117.430642,1116.223998,7.774603461,5248.515693
"Davenport-Moline-Rock Island, IA-IL",21448,56885,5.304457292,18742820.01,329.4861564,2.818304737,17093,9883489.477,30173,327.5607158,1.045454553,0.005899314,3.576777631,2.850515668,3125.648049,1648.221003,15.55668144,5996.458883
"Dayton-Kettering, OH",35069,91624,5.225355727,19357781.58,211.2741376,2.766717044,27747,10306675.33,48469,212.6446869,1.051649779,0.007778167,10.48439157,8.29537235,5787.29254,3081.331659,38.72180243,3344.876978
"Decatur, AL",10821,27196,5.026522503,9943451.66,365.6218437,2.641622771,8148,5214131.347,14256,365.7499542,1.079158694,0.011924804,3.178201848,2.393123432,2920.459888,1531.426105,2.00525994,3404.75543
"Decatur, IL",6321,16968,5.368770764,5495405.667,323.8687923,2.869482677,5126,2921396.219,9030,323.521176,1.036979311,0.004429679,4.165895148,3.378322817,3621.781965,1925.36471,2.880985787,1517.320954
"Deltona-Daytona Beach-Ormond Beach, FL",32969,84130,5.103582153,16658144.86,198.0048123,2.750492887,26196,9033314.176,45455,198.7309246,1.069496072,0.010075899,6.362483961,5.055404466,3214.752631,1743.283586,47.14377825,5181.781235
"Denver-Aurora-Lakewood, CO",95402,234440,4.914781661,55081155.9,234.947773,2.690939393,73093,29614294.98,128377,230.6822482,1.105937957,0.005390374,3.004197753,2.301689968,1734.499117,932.5506636,140.3628023,31756.23173
"Des Moines-West Des Moines, IA",32219,86749,5.384959186,30190729.56,348.0239491,2.880319066,26345,15998990.15,46316,345.4311717,1.046169678,0.004749978,3.414488832,2.791977041,3199.537817,1695.532859,24.02033076,9435.965845
"Detroit-Warren-Dearborn, MI",146391,386138,5.275433599,71488192.03,185.1363814,2.904714088,124094,38576989.57,212881,181.2138686,1.056773601,0.009770717,13.46306951,11.41249221,6574.519598,3547.791135,168.922063,10873.5233
"Dothan, AL",12672,33332,5.260732323,12721966.38,381.6742583,2.794270833,10373,6554041.934,17654,371.2496847,1.055769726,0.008213436,2.828938076,2.315701914,2840.092731,1463.145421,8.589296021,4479.419365
"Dover, DE",8018,19869,4.956098778,5535471.315,278.5983852,2.714018458,6271,2941284.629,10857,270.9113594,1.070956152,0.008842222,3.879560463,3.034263366,2678.373118,1423.159336,3.922292185,2066.72897
"Dubuque, IA",5437,13784,5.070443259,4594720.733,333.3372557,2.695236344,4122,2450874.348,7296,335.920278,1.062229903,0.004111842,3.409677477,2.58500838,2881.46327,1537.004058,4.178573826,1594.57897
"Duluth, MN-WI",28903,71903,4.975469674,36662407.83,509.8870399,2.569525655,20073,18848106.97,37074,508.3915133,1.07256047,0.006824189,0.992437358,0.689243161,1258.870815,647.1842188,8.146157436,29123.24871
"Durham-Chapel Hill, NC",32806,76735,4.678107663,22182975.86,289.0855002,2.502682436,22928,11684310.67,41017,284.8650724,1.07283775,0.009483873,5.393155488,3.769257728,3646.779187,1920.846925,40.1391027,6082.895268
"East Stroudsburg, PA",12393,30460,4.915678205,8053570.426,264.3982412,2.534333898,9000,4182698.774,15674,266.8558616,1.107582851,0.00823019,7.752217707,5.629787732,5037.765776,2616.411805,4.473337454,1598.639314
