msa,auto_commuters,annual_excess_fuel_consumed_commuters,Annual Hours of Delay (Person Hours),AHD per Auto Commuter,tti,ahd_truck,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_density_km,intersection_density_km,edge_density_km,street_density_km,builing_area_sqkm,area_sqkm,ms_cara,ms_carp,ms_pt,ms_taxi,ms_bike,ms_walk,ms_wfh,unemp,med_hh_inc_dol,households
"Idaho Falls, ID",57,631,1397,11,1.06,43,11454,29377,5.129561725161516,13875151.59200001,472.31342860060624,2.63899074559106,8564,7075947.988999999,15059,469.8816647187728,1.0850481052515657,0.0077030347300617,0.8447011933616015,0.6315715924523098,1023.2545056605144,521.8318238582962,8.092555569480455,13559.8245746727,0.7839783837815887,0.1047386999031643,0.0294880204916752,0.0099022272201917,0.0029050698153874,0.0180864023990253,0.0509011963889669,3.7,61007,49526
"Indianapolis-Carmel-Anderson, IN",812,21655,47617,52,1.18,2488,96972,245920,5.071979540485914,56956783.54099935,231.6069597470696,2.7234150063935982,75468,30256169.57799971,132195,228.8752946631848,1.0639664200837826,0.0089564658269979,8.6312255592665,6.717210437102713,5069.575195651148,2693.0229776340866,132.28008663040816,11235.020952023511,0.8317151974072481,0.0831051004791389,0.008684518510368,0.0092536835682347,0.0026497684328455,0.0152754298746636,0.0493163017275009,4.8,61552,776607
"Iowa City, IA",71,878,2023,16,1.07,95,8253,21718,5.263055858475706,8442990.503999937,388.75543346532544,2.802859566218345,6621,4415716.697000008,11501,383.9419786975053,1.0479432480786126,0.0128684462220676,2.6681504111756005,2.140533608674864,2729.573316951305,1427.577404669276,5.391074826549217,3093.153956175839,0.7010754300649115,0.0933717517513228,0.0505473553418025,0.0117718888579446,0.0190235437777158,0.0789219991859294,0.0452880310203731,3.4,62544,67966
"Ithaca, NY",33,647,1637,28,1.17,57,3572,9411,5.2693169092945125,4064930.026,431.93390989267874,2.730963045912654,2845,2053190.5660000031,4829,425.1792433215993,1.0590545389774202,0.0147028370262994,2.80562959172771,2.234606995650989,3192.801783104168,1612.679789872837,8.753710939573152,1273.154521370855,0.6023706238162155,0.0948453188326103,0.0669232805849168,0.0086556281949451,0.0150098775992342,0.1396101912384676,0.0725850797336103,3.8,60240,39618
"Jackson, MI",53,627,1575,17,1.07,80,30869,81133,5.256600472966406,13724225.753000043,169.15713400219448,2.88175839839321,25461,7577320.494999975,44456,170.4453953347124,1.0521051438753888,0.0064333273348929,19.37008264015369,15.97660028186702,8611.85613423617,4754.715869612873,37.08453069817727,1593.6431750688223,0.8468548173051402,0.0842549175735055,0.0038337904391164,0.0070335309209944,0.0024477277418974,0.0228847798519567,0.0326904361673891,5.8,53658,61805
"Jackson, MS",199,4989,12836,44,1.13,529,44622,107594,4.822464255300076,38085865.674999565,353.9775979608488,2.5496167809600645,32112,19895085.869000062,56824,350.1176592460944,1.085755687247434,0.0058601999155286,3.1326328066481848,2.25438359300539,2673.771509190526,1396.7101134936202,6.110880417475596,14244.248449834786,0.8545515275505673,0.0993733417849321,0.0029454074796649,0.0069991383923996,0.0006566436778118,0.0093752016427478,0.0260987394718762,7.3,52504,217785
"Jackson, TN",43,1178,2316,24,1.08,174,11453,29163,5.092639483104863,12540629.40999989,430.0184963823986,2.679123373788527,8848,6561359.426000038,15259,429.9993070319181,1.075306793568067,0.0052428075234287,2.580274045502541,1.9933873006728795,2825.308703474074,1478.2245202236404,2.369379966840448,4438.675814285215,0.845394866150399,0.0823931758323833,0.0033151198291337,0.0244899563662093,0.001572388851763,0.0114522321370074,0.031382260833104,5.4,46875,68815
"Jacksonville, FL",601,14458,40733,53,1.21,1501,70409,169264,4.8080217017710805,33492727.670999814,197.8727175949984,2.6681390163189365,52851,18583427.82800023,94054,197.58253586237936,1.0779967075043893,0.0074531652029685,7.355381081281469,5.521158453135351,3498.867694070139,1941.3454738944235,92.09213255328184,9572.44760290968,0.8094493011393191,0.0821056429014883,0.0121342796896935,0.016733224826753,0.0048408476936758,0.0151252020515574,0.0596115016975127,5.5,61723,563946
"Jacksonville, NC",63,1081,2557,20,1.11,74,10524,24673,4.688901558342836,6220809.909000007,252.13026016293145,2.446503230710756,7039,3273983.650000006,12865,254.487652545667,1.0765484334712607,0.0087835211815001,4.486841080101803,3.0010332917936706,2652.2031025470915,1395.8422972635567,3.861514058768728,2345.5254625958846,0.7161413196823734,0.1357269539280099,0.0034765609254705,0.0150751743318956,0.0024184771655447,0.08230883953404,0.0448526744326655,8.7,50278,64386
"Janesville-Beloit, WI",42,595,1528,19,1.07,83,7751,21099,5.444200748290543,6813876.590999996,322.9478454429118,2.926203070571539,6491,3587880.9430000177,11280,318.0745516843987,1.039044603190525,0.0049645390070921,4.121256117402335,3.451306084125733,3622.981626097704,1907.6991723455144,5.628347009663466,1880.737275043592,0.8300167000242215,0.1002766339890111,0.0057239014316127,0.0100582588631235,0.003250768073633,0.0191731575793888,0.0315005800390092,5.1,57875,64739
