msa,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
"Greenville, NC",10767.150433675275,29029.103633755978,28.4774811427522,19444.03826247959,13.306756949410051,11.165578337603852,7.298939599370187,4.587914706421181,5.022186863263376,41.381376456068644,60078.0,2486110.334727692
"Greenville-Anderson, SC",36181.42603039761,102558.77488779143,132.50613551007976,68741.14472568226,15.751708851637435,12.83214978040879,7.500398684762276,5.037057566858079,5.5968938616332435,138.7634390670438,216907.0,10133506.504316749
"Gulfport-Biloxi, MS",37381.23483391864,78845.04953652939,9.248637127469227,72119.52645051522,15.676896447342422,14.468577766146135,7.481544865998956,4.384490104894459,4.721821570811501,138.53636545652188,26393.0,1233432.7986218212
"Hagerstown-Martinsburg, MD-WV",25028.812034439594,54985.111522527266,175.3834648221742,48888.45723909048,16.47534906454053,13.233317488267584,8.216181033007985,5.093450325708445,5.568071355317063,99.43023720297602,152621.0,7415300.263874635
"Hammond, LA",13015.739610262603,26660.441309485945,3.1537079902082077,23514.767959763423,15.583957549644396,11.856182728446935,8.008879802542728,4.419279923071908,4.68935957372025,44.55765957742623,43711.0,1947659.8577888778
"Harrisburg-Carlisle, PA",9349.499278858084,38767.281953079,259.70639143254056,19761.95383184419,13.872834118591044,13.582635169199945,7.2063040913538385,5.152253230761538,5.794723001771581,45.608749611677936,109667.0,5001774.743663885
"Harrisonburg, VA",29618.892037578094,86286.27470361743,867.5353446589928,83181.43368594261,19.391656968712358,14.09392236891511,7.816594716560892,5.785187277226647,6.561967583143739,155.936732297867,175627.0,9422270.689277206
"Hartford-East Hartford-Middletown, CT",14907.874343748124,66679.8495300301,984.6523935641449,52507.248101161065,16.767114306418705,13.530276789986647,7.499711883383482,5.938783157213928,6.814816707374636,106.9054051053005,404846.0,20465249.843734812
"Hattiesburg, MS",92208.19522885267,208635.18493401023,17.05535030074484,173230.92116008734,15.862186757380304,14.063831232258822,7.553023104591343,4.434270036128634,4.773952132647464,333.33315613610273,109172.0,5096941.904948953
"Hickory-Lenoir-Morganton, NC",65504.44679446141,182694.98498035138,521.750527339659,142514.67208875128,16.05977285669572,12.612877115823094,7.553159213759023,4.869362701078353,5.36335156089622,279.4345471282357,124382.0,5778604.063540531
"Hilton Head Island-Bluffton, SC",24265.008905040697,55823.931813105264,64.39437051164055,42038.90974331364,14.698213606068348,12.034708268845602,7.538277490823723,5.257243188981988,5.887487264117024,89.2254876723625,82958.0,3767614.7059110533
"Hinesville, GA",13890.752733520438,28274.641162995038,2.3355794182781393,25710.0,16.956055367793745,14.843530569349362,8.370000000000001,4.600414514544365,4.851921009277842,49.621921460965325,2453.0,121722.57334374794
"Homosassa Springs, FL",10832.246166117047,14444.977236051209,4.547116238896768,19733.272892027566,13.453202942965213,10.806478495305827,6.627157746958223,4.371446789208025,4.822920956009977,40.08120693044725,70023.0,2806606.352890708
