msa_x,municipality,msa_y
"Sumter, SC","['Clarendon County, SC', 'Sumter County, SC']","Sumter, SC"
"Louisville/Jefferson County, KY-IN","['Clark County, IN', 'Floyd County, IN', 'Harrison County, IN', 'Washington County, IN', 'Bullitt County, KY', 'Henry County, KY', 'Jefferson County, KY', 'Oldham County, KY', 'Shelby County, KY', 'Spencer County, KY']","Louisville/Jefferson County, KY-IN"
"Las Vegas-Henderson-Paradise, NV","['Clark County, NV']","Las Vegas-Henderson-Paradise, NV"
"Springfield, OH","['Clark County, OH']","Springfield, OH"
"Athens-Clarke County, GA","['Clarke County, GA', 'Madison County, GA', 'Oconee County, GA', 'Oglethorpe County, GA']","Athens-Clarke County, GA"
"Terre Haute, IN","['Clay County, IN', 'Parke County, IN', 'Sullivan County, IN', 'Vermillion County, IN', 'Vigo County, IN']","Terre Haute, IN"
"Fargo, ND-MN","['Clay County, MN', 'Cass County, ND']","Fargo, ND-MN"
"Pine Bluff, AR","['Cleveland County, AR', 'Jefferson County, AR', 'Lincoln County, AR']","Pine Bluff, AR"
"Lansing-East Lansing, MI","['Clinton County, MI', 'Eaton County, MI', 'Ingham County, MI', 'Shiawassee County, MI']","Lansing-East Lansing, MI"
"Sierra Vista-Douglas, AZ","['Cochise County, AZ']","Sierra Vista-Douglas, AZ"
"Flagstaff, AZ","['Coconino County, AZ']","Flagstaff, AZ"
"Florence-Muscle Shoals, AL","['Colbert County, AL', 'Lauderdale County, AL']","Florence-Muscle Shoals, AL"
"Naples-Marco Island, FL","['Collier County, FL']","Naples-Marco Island, FL"
"Dallas-Fort Worth-Arlington, TX","['Collin County, TX', 'Dallas County, TX', 'Denton County, TX', 'Ellis County, TX', 'Hunt County, TX', 'Johnson County, TX', 'Kaufman County, TX', 'Parker County, TX', 'Rockwall County, TX', 'Tarrant County, TX', 'Wise County, TX']","Dallas-Fort Worth-Arlington, TX"
"Bloomsburg-Berwick, PA","['Columbia County, PA', 'Montour County, PA']","Bloomsburg-Berwick, PA"
"Madison, WI","['Columbia County, WI', 'Dane County, WI', 'Green County, WI', 'Iowa County, WI']","Madison, WI"
"Lawton, OK","['Comanche County, OK', 'Cotton County, OK']","Lawton, OK"
"Chicago-Naperville-Elgin, IL-IN-WI","['Cook County, IL', 'DeKalb County, IL', 'DuPage County, IL', 'Grundy County, IL', 'Kane County, IL', 'Kendall County, IL', 'Lake County, IL', 'McHenry County, IL', 'Will County, IL', 'Jasper County, IN', 'Lake County, IN', 'Newton County, IN', 'Porter County, IN', 'Kenosha County, WI']","Chicago-Naperville-Elgin, IL-IN-WI"
"Jackson, MS","['Copiah County, MS', 'Hinds County, MS', 'Holmes County, MS', 'Madison County, MS', 'Rankin County, MS', 'Simpson County, MS', 'Yazoo County, MS']","Jackson, MS"
"Hattiesburg, MS","['Covington County, MS', 'Forrest County, MS', 'Lamar County, MS', 'Perry County, MS']","Hattiesburg, MS"
"Longview, WA","['Cowlitz County, WA']","Longview, WA"
"Jonesboro, AR","['Craighead County, AR', 'Poinsett County, AR']","Jonesboro, AR"
"New Bern, NC","['Craven County, NC', 'Jones County, NC', 'Pamlico County, NC']","New Bern, NC"
"Fort Smith, AR-OK","['Crawford County, AR', 'Franklin County, AR', 'Sebastian County, AR', 'Sequoyah County, OK']","Fort Smith, AR-OK"
"Tulsa, OK","['Creek County, OK', 'Okmulgee County, OK', 'Osage County, OK', 'Pawnee County, OK', 'Rogers County, OK', 'Tulsa County, OK', 'Wagoner County, OK']","Tulsa, OK"
"Memphis, TN-MS-AR","['Crittenden County, AR', 'DeSoto County, MS', 'Marshall County, MS', 'Tate County, MS', 'Tunica County, MS', 'Fayette County, TN', 'Shelby County, TN', 'Tipton County, TN']","Memphis, TN-MS-AR"
"Lubbock, TX","['Crosby County, TX', 'Lubbock County, TX', 'Lynn County, TX']","Lubbock, TX"
"Portland-South Portland, ME","['Cumberland County, ME', 'Sagadahoc County, ME', 'York County, ME']","Portland-South Portland, ME"
"Fayetteville, NC","['Cumberland County, NC', 'Harnett County, NC', 'Hoke County, NC']","Fayetteville, NC"
"Vineland-Bridgeton, NJ","['Cumberland County, NJ']","Vineland-Bridgeton, NJ"
"Harrisburg-Carlisle, PA","['Cumberland County, PA', 'Dauphin County, PA', 'Perry County, PA']","Harrisburg-Carlisle, PA"
"Cleveland-Elyria, OH","['Cuyahoga County, OH', 'Geauga County, OH', 'Lake County, OH', 'Lorain County, OH', 'Medina County, OH']","Cleveland-Elyria, OH"
"Des Moines-West Des Moines, IA","['Dallas County, IA', 'Guthrie County, IA', 'Jasper County, IA', 'Madison County, IA', 'Polk County, IA', 'Warren County, IA']","Des Moines-West Des Moines, IA"
"Florence, SC","['Darlington County, SC', 'Florence County, SC']","Florence, SC"
"Winston-Salem, NC","['Davidson County, NC', 'Davie County, NC', 'Forsyth County, NC', 'Stokes County, NC', 'Yadkin County, NC']","Winston-Salem, NC"
"Owensboro, KY","['Daviess County, KY', 'Hancock County, KY', 'McLean County, KY']","Owensboro, KY"
"Cincinnati, OH-KY-IN","['Dearborn County, IN', 'Franklin County, IN', 'Ohio County, IN', 'Union County, IN', 'Boone County, KY', 'Bracken County, KY', 'Campbell County, KY', 'Gallatin County, KY', 'Grant County, KY', 'Kenton County, KY', 'Pendleton County, KY', 'Brown County, OH', 'Butler County, OH', 'Clermont County, OH', 'Hamilton County, OH', 'Warren County, OH']","Cincinnati, OH-KY-IN"
"Muncie, IN","['Delaware County, IN']","Muncie, IN"
"Columbus, OH","['Delaware County, OH', 'Fairfield County, OH', 'Franklin County, OH', 'Hocking County, OH', 'Licking County, OH', 'Madison County, OH', 'Morrow County, OH', 'Perry County, OH', 'Pickaway County, OH', 'Union County, OH']","Columbus, OH"
"Bend, OR","['Deschutes County, OR']","Bend, OR"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","['District of Columbia County, DC', 'Calvert County, MD', 'Charles County, MD', 'Frederick County, MD', 'Montgomery County, MD', ""Prince George's County, MD"", 'Arlington County, VA', 'Clarke County, VA', 'Culpeper County, VA', 'Fauquier County, VA', 'Loudoun County, VA', 'Madison County, VA', 'Rappahannock County, VA', 'Stafford County, VA', 'Warren County, VA', 'Alexandria, VA', 'Fairfax County, VA', 'Fairfax, VA', 'Falls Church, VA', 'Prince William County, VA', 'Manassas, VA', 'Manassas Park, VA', 'Spotsylvania County, VA', 'Fredericksburg, VA', 'Jefferson County, WV']","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Rochester, MN","['Dodge County, MN', 'Fillmore County, MN', 'Olmsted County, MN', 'Wabasha County, MN']","Rochester, MN"
"St. Joseph, MO-KS","['Doniphan County, KS', 'Andrew County, MO', 'Buchanan County, MO', 'DeKalb County, MO']","St. Joseph, MO-KS"
"Albany, GA","['Dougherty County, GA', 'Lee County, GA', 'Terrell County, GA', 'Worth County, GA']","Albany, GA"
"Lawrence, KS","['Douglas County, KS']","Lawrence, KS"
"Las Cruces, NM","['Doña Ana County, NM']","Las Cruces, NM"
"Dubuque, IA","['Dubuque County, IA']","Dubuque, IA"
